User_ID,Age,City_Tier,EV_Type,Battery_Capacity_kWh,Charging_Sessions_Per_Month,Avg_Charge_Cost,Distance_Travelled_Per_Month,Income_Level,Loan_Taken,Missed_Payments_Last_6M,Tenure_Months,Charging_Location_Type,App_Usage_Score,Charger_Working_Status,Charging_Time_Minutes,High_Default_Risk,Charging_Efficiency_Index
1,59,Tier3,5KW,40.7,19,325.1,1702,Low,0,2,1,Public,1,Working,58.5,0,100.0
2,49,Tier5,5KW,31.7,9,439.97,2377,High,0,0,1,Highway,7,Working,47.0,0,96.36
3,35,Tier5,5KW,36.8,24,309.8,1905,Low,0,5,6,Highway,4,Working,53.5,1,100.0
4,63,Tier5,2KW,38.5,32,353.9,2074,Medium,0,1,31,Highway,1,Not Working,112.0,1,57.96
5,28,Tier1,5KW,33.2,8,597.43,1212,Medium,0,2,24,Private,6,Working,58.0,0,84.56
6,41,Tier3,2KW,48.5,12,591.86,771,Low,0,3,34,Private,3,Working,61.8,1,100.0
7,59,Tier3,2KW,36.8,30,349.53,1780,High,1,2,6,Public,4,Working,49.4,1,100.0
8,39,Tier5,3KW,38.1,22,554.41,452,Medium,0,1,28,Public,2,Working,50.5,0,100.0
9,43,Tier2,3KW,33.4,25,379.39,2086,Medium,0,3,16,Public,5,Working,50.2,0,100.0
10,31,Tier2,5KW,34.4,27,370.34,2128,Medium,1,0,40,Public,5,Working,52.7,0,100.0
11,31,Tier3,4KW,47.2,34,617.08,395,High,1,1,26,Highway,1,Not Working,177.1,1,20.06
12,44,Tier2,2KW,36.5,19,318.67,1451,High,1,5,25,Highway,8,Not Working,101.6,1,45.92
13,56,Tier1,2KW,36.7,16,235.52,1255,High,1,2,9,Highway,8,Working,49.7,0,100.0
14,60,Tier5,2KW,36.8,11,370.14,1539,Low,0,5,26,Private,7,Not Working,104.2,1,33.07
15,44,Tier3,2KW,31.4,20,377.77,1910,Medium,1,0,37,Highway,6,Working,38.2,0,100.0
16,23,Tier5,2KW,20.9,12,405.23,2175,Low,0,2,42,Highway,6,Working,26.1,0,100.0
17,42,Tier5,5KW,50.7,18,243.51,1678,Low,1,5,36,Public,3,Working,67.5,1,100.0
18,22,Tier2,2KW,45.7,23,492.15,653,High,0,0,27,Public,7,Working,68.4,0,100.0
